"Sentence Nr";"Source sentence";"Human translated sentence";"First machine translated sentence";"Second Machine translated sentence";"First machine translated sentence bleu score";"Second machine translated sentence bleu score"
"69";"Valdis Dombrovskis, the E.U. trade chief, told reporters that the European Commission, the bloc's executive body, which drafted the proposal, was ""very careful to make sure that what we are doing is compatible with the W.T.O. rules and obligations in our bilateral deals.""";"欧盟贸易负责人瓦尔迪斯 · 东布罗夫斯基斯告诉记者 ， 起草该提案的欧盟执行机构欧盟委员会 "" 非常注意确保我们所做的工作符合世贸组织的规则以及我们双边协议中的义务。 """;"欧盟贸易主管瓦尔迪斯 · 东布罗夫斯基斯 （ valdis dombrovskis ） 告诉记者 ， 起草该提案的欧盟执行机构欧盟委员会 “ 非常小心地确保我们正在做的事情与我们双边协议中的世贸组织规则和义务相符。";"欧盟贸易主管瓦尔迪斯 · 东布罗夫斯基斯 （ valdis dombrovskis ） 告诉记者 ， 起草该提案的欧盟执行机构欧盟委员会 “ 非常小心地确保我们正在做的事情与我们双边协议中的世贸组织规则和义务相符。";"7.495553";"7.495553"
"70";"""The key word for this was nondiscrimination,"" he added.";""" 关键词是非歧视 ， "" 他还说。";""" 这方面的关键词是不歧视 ， "" 他补充说。";""" 这方面的关键词是不歧视 ， "" 他补充说。";"23.643540";"23.643540"
"71";"The European rules, which are expected to become law next year and take another two years to be fully implemented, come at a critical time for victims of forced labor. Compounding crises, including the Covid-19 pandemic, climate change and armed conflicts have led to a record increase in modern slavery, according to the United Nations.";"欧洲的提案预计明年将成为法律 ， 并需要两年时间才能完全实施。它的提出正值强迫劳动受害者的一个关键时刻。据联合国称 ， 包括新冠大流行、气候变化和武装冲突在内的复杂危机导致现代的奴役现象出现创纪录增长。";"预计明年将成为法律的欧洲规则需要另外两年才能完全实施 ， 对于强迫劳动的受害者来说 ， 这是一个关键时刻。 据联合国称 ， 包括新冠肺炎大流行 ， 气候变化和武装冲突在内的复杂危机导致现代奴隶制度创纪录地增加。";"预计明年将成为法律的欧洲规则需要另外两年才能完全实施 ， 对于强迫劳动的受害者来说 ， 这是一个关键时刻。 据联合国称 ， 包括新冠肺炎大流行 ， 气候变化和武装冲突在内的复杂危机导致现代奴隶制度创纪录地增加。";"4.990050";"4.990050"
"72";"Not counting commercial sexual exploitation, about 17 million people are currently victims of forced labor in the private sector, according to a U.N. report published this week, and some 3.9 million are forced to work by governments. Manufacturing, construction and agriculture are the sectors most affected.";"根据联合国本周发布的一份报告 ， 不计商业目的的性剥削 ， 目前约有1700万人成为私营部门强迫劳动的受害者 ， 约390万人被政府强迫工作。制造业、建筑业和农业是受影响最大的部门。";"根据本周发布的联合国报告 ， 不包括商业性剥削 ， 目前约有1700万人成为私营部门强迫劳动的受害者 ， 约有390万人被政府强迫工作。 制造业、建筑业和农业是受影响最严重的行业。";"根据本周发布的联合国报告 ， 不包括商业性剥削 ， 目前约有1700万人成为私营部门强迫劳动的受害者 ， 约有390万人被政府强迫工作。 制造业、建筑业和农业是受影响最严重的行业。";"22.089591";"22.089591"
"73";"European consumers, often unknowingly or indirectly, profit from such abuse. According to estimates by advocacy groups, one-fifth of cotton products in the global clothing industry are ""tainted by forced labor"" from Xinjiang, and almost half the worldwide supply of polysilicon, a key component of solar panels, comes from the region.";"欧洲消费者通常是在无意或间接地从这种侵害中获利。据倡导组织估计 ， 全球服装行业五分之一的棉花产品 "" 涉及来自新疆的强迫劳动 "" ， 而全球近一半的太阳能电池板关键部件多晶硅供应来自该地区。";"欧洲消费者往往在不知不觉中或间接地从这种滥用行为中获利。 根据倡导团体的估计 ， 全球服装行业五分之一的棉花产品 “ 受到新疆强迫劳动的污染 ” ， 全球近一半的多晶硅供应来自该地区 ， 多晶硅是太阳能电池板的关键部件。";"欧洲消费者往往在不知不觉中或间接地从这种滥用行为中获利。 根据倡导团体的估计 ， 全球服装行业五分之一的棉花产品 “ 受到新疆强迫劳动的污染 ” ， 全球近一半的多晶硅供应来自该地区 ， 多晶硅是太阳能电池板的关键部件。";"8.295194";"8.295194"
"74";"The European proposal would make the national authorities of the bloc's 27 members responsible for enforcing the ban. But critics say that failing to identify the regions or industries that are the biggest culprits, as well as leaving individual nations to determine how to implement the policy, stood out as major weaknesses.";"欧洲的提案要求由欧盟27个成员国的政府当局负责该禁令的执行。但批评人士认为 ， 其最大的弱点在于没能明确存在最严重罪行的地区或产业 ， 并且让各国自行决定如何实施这项政策。";"欧洲提案将使欧盟27个成员国的国家当局负责执行禁令。 但批评人士表示 ， 未能确定最大罪魁祸首的地区或行业 ， 以及让个别国家决定如何实施该政策 ， 成为主要弱点。";"欧洲提案将使欧盟27个成员国的国家当局负责执行禁令。 但批评人士说 ， 未能确定最大的罪魁祸首的地区或行业 ， 以及让个别国家决定如何实施这项政策 ， 是主要的弱点。";"6.567275";"6.567275"
"75";"In the United States, the authorities are empowered to seize goods suspected of being the products of forced labor coming from Xinjiang. But in Europe, the authorities have to prove that the goods are in breach of the rules, and only then can they withdraw them from the market. The administrative and legal burden on the European authorities, which have varying capacities and political commitment to this cause, will most likely weaken the implementation, analysts said.";"在美国 ， 当局有权没收疑似来自新疆的强迫劳动产品。但在欧洲 ， 当局必须证明货物违反规定 ， 然后才能将其撤出市场。分析人士说 ， 欧洲各国对此倡导的应对能力和政治承诺不同 ， 提案带给当局的行政和法律负担很可能会削弱规定的实施。";"在美国 ， 当局有权扣押被怀疑是来自新疆的强迫劳动产品的货物。 但在欧洲 ， 当局必须证明这些货物违反了规定 ， 只有这样 ， 他们才能将其撤出市场。 分析师表示 ， 对这一事业有不同能力和政治承诺的欧洲当局的行政和法律负担很可能会削弱实施。";"在美国 ， 当局有权没收被怀疑是来自新疆的强迫劳动产品的货物。 但在欧洲 ， 当局必须证明这些货物违反了规定 ， 只有这样 ， 他们才能将其撤出市场。 分析师表示 ， 对这一事业有不同能力和政治承诺的欧洲当局的行政和法律负担很可能会削弱实施。";"8.130851";"8.130851"
"76";"""A lot will depend on the political will of national governments,"" said Niclas Poitiers, a trade researcher at Bruegel, a Brussels-based research institute. ""I wouldn't be surprised if we see a very different application in Germany than in Hungary,"" he added. (Hungary's prime minister, Viktor Orban, has built a close relationship with Beijing, facilitating sprawling Chinese investment in his country.)";""" 很大程度上取决于各国政府的政治意愿 ， "" 布鲁塞尔研究机构布鲁盖尔的贸易研究员尼古拉斯 · 普瓦捷说。 "" 如果我们在德国看到与匈牙利截然不同的处理方式 ， 我不会感到惊讶 ， "" 他补充说。 ( 匈牙利总理欧尔班 · 维克多与北京建立了密切的关系 ， 促进了中国在匈牙利的广泛投资。 )";"“ 很大程度上将取决于各国政府的政治意愿 ，” 总部位于布鲁塞尔的研究机构bruegel的贸易研究员niclas poitiers说。 "" 如果我们看到德国的申请与匈牙利非常不同 ， 我不会感到惊讶 ， "" 他补充说。 ( 匈牙利总理欧尔班 ( viktor orban ) 与北京建立了密切关系 ， 促进了中国在匈牙利的庞大投资。";"“ 很大程度上将取决于各国政府的政治意愿 ，” 总部位于布鲁塞尔的研究机构bruegel的贸易研究员niclas poitiers说。 "" 如果我们在德国看到与匈牙利截然不同的应用程序 ， 我不会感到惊讶 ， "" 他补充说。 ( 匈牙利总理欧尔班 ( viktor orban ) 与北京建立了密切关系 ， 促进了中国在匈牙利的庞大投资。";"30.232667";"30.232667"
"77";"The proposed law follows significant pressure from civil society and European lawmakers to confront China about its human rights record. Last year, the European Parliament blocked a landmark commercial agreement between the bloc and China, citing rights violations and a ""totalitarian threat"" from Beijing. And in June, after the publication of the ""Xinjiang Police Files,"" which detailed years of repression against the Uyghurs, lawmakers adopted a resolution calling for an outright import ban.";"拟议的法律是在公民社会和欧洲立法者强烈施压、要求就中国的人权记录做出应对后出现的。去年 ， 欧洲议会以侵犯人权和来自北京的 "" 极权主义威胁 "" 为由 ， 阻止了欧盟与中国之间的一项具有里程碑意义的商业协议。6月 ， 《新疆公安文件》被公布 ， 该文件详细说明了多年来新疆警方对维吾尔人的镇压 ， 此后 ， 立法者通过了一项决议 ， 要求彻底禁止进口。";"拟议中的法律是在民间社会和欧洲立法者施加巨大压力 ， 要求就中国的人权记录与中国对抗之后提出的。 去年 ， 欧洲议会以侵犯权利和来自北京的 “ 极权主义威胁 ” 为由 ， 阻止了欧盟与中国之间具有里程碑意义的商业协议。 今年6月 ， 在 “ 新疆警察档案 ” 公布后 ， 立法者通过了一项决议 ， 呼吁全面禁止进口。";"拟议中的法律是在民间社会和欧洲立法者施加巨大压力 ， 要求就中国的人权记录与中国对抗之后提出的。 去年 ， 欧洲议会以侵犯权利和来自北京的 “ 极权主义威胁 ” 为由 ， 阻止了欧盟与中国之间具有里程碑意义的商业协议。 今年6月 ， 在 “ 新疆警察档案 ” 公布后 ， 立法者通过了一项决议 ， 呼吁全面禁止进口。";"8.927575";"8.927575"
"78";"The proposed law has been criticized for failing to mention China but also because it does not help victims of forced labor to claim back wages, retrieve their documents or seek compensation.";"拟议的法律受到了批评 ， 因为它没有提及中国 ， 并且没有帮助强迫劳动的受害者索回工资、取回他们的文件或寻求赔偿。";"拟议的法律因未能提及中国而受到批评 ， 但也因为它没有帮助强迫劳动的受害者索回工资 ， 取回他们的文件或寻求赔偿。";"拟议的法律因未能提及中国而受到批评 ， 但也因为它没有帮助强迫劳动的受害者索回工资 ， 取回他们的文件或寻求赔偿。";"12.703319";"12.703319"
"79";"""Does it help the fate of the Uyghurs? I am afraid it falls short,"" Reinhard Buetikofer, a German member of the European Parliament for the Greens, told reporters on Monday. ""I am not happy that state-induced forced labor is not even mentioned in the text,"" he added.";""" 这对维吾尔人的命运有帮助吗 ? 恐怕它是不够的 ， "" 欧洲议会绿党的德国议员莱因哈德 · 布埃蒂科弗周一告诉记者。 "" 我很不高兴 ， 文中甚至没有提到国家强迫劳动 ， "" 他还说。";"”” ” 它帮助维吾尔人的命运吗 ? 我担心这还不够 ， ” 欧洲绿党议会德国议员reinhard buetikofer周一告诉记者。 "" 我对文本中甚至没有提到国家引起的强迫劳动感到不高兴 ， "" 他补充说。";"”” ” 它帮助维吾尔人的命运吗 ? 我担心这还不够 ， ” 欧洲绿党议会德国议员reinhard buetikofer周一告诉记者。 "" 我对文本中甚至没有提到国家引起的强迫劳动感到不高兴 ， "" 他补充说。";"6.191083";"6.191083"
"80";"Europe's relations with China, which is considered simultaneously a partner and a ""systemic rival,"" is in an awkward phase, given the Chinese government's support of Russia even after the invasion of Ukraine.";"欧洲与中国的关系被认为既是合作伙伴 ， 又是 "" 系统性竞争对手 "" ， 鉴于中国在乌克兰被入侵后仍支持俄罗斯 ， 欧洲与中国的关系正处于一个尴尬的阶段。";"欧洲与中国的关系同时被视为合作伙伴和 “ 系统性竞争对手 ” ， 鉴于中国政府在入侵乌克兰后对俄罗斯的支持 ， 欧洲与中国的关系正处于尴尬阶段。";"欧洲与中国的关系被认为是合作伙伴和 “ 系统性竞争对手 ” ， 鉴于中国政府在入侵乌克兰后对俄罗斯的支持 ， 欧洲与中国的关系正处于尴尬阶段。";"5.660234";"5.660234"
"81";"And to many, Europe's swift response to the Russian aggression highlighted the weakness of its policy toward China.";"对许多人来说 ， 欧洲对俄罗斯侵略的迅速反应反衬出其对华政策的软弱。";"对许多人来说 ， 欧洲对俄罗斯侵略的迅速反应凸显了其对华政策的弱点。";"对许多人来说 ， 欧洲对俄罗斯侵略的迅速反应凸显了其对华政策的弱点。";"63.894310";"63.894310"
"82";"Referring to Xinjiang, Dilnur Reyhan, president of the European Uyghur Institute, said, ""This genocide has been happening for five years and Europe has not yet done anything, just bread crumbs in terms of sanctions.""";"欧洲维吾尔研究所所长迪丽努尔 · 热依汗在谈到新疆时说 : "" 这场种族灭绝已经进行了五年 ， 欧洲还没有采取任何行动 ， 只有一些不痛不痒的制裁。 """;"在谈到新疆时 ， 欧洲维吾尔研究所所长迪尔努尔 · 雷汉 （ dilnur reyhan ） 说 ： “ 这种种族灭绝已经发生了五年 ， 欧洲还没有做任何事情 ， 只是制裁方面的面包屑。";"在谈到新疆时 ， 欧洲维吾尔研究所所长迪尔努尔 · 雷汉 （ dilnur reyhan ） 说 ： “ 这种种族灭绝已经发生了五年 ， 欧洲还没有做任何事情 ， 只是制裁方面的面包屑。";"3.009804";"3.009804"
"83";"She added: ""But we've seen what has happened since the Russian war in Ukraine. We know that Europe can respond very quickly if it wants to.""";"她还说 : "" 但我们已经看到了自俄罗斯在乌克兰发起战争以来发生的事情。我们知道 ， 如果欧洲愿意 ， 它可以非常迅速地做出反应。 """;"她补充说 ： “ 但我们已经看到了自俄罗斯在乌克兰战争以来发生的事情。 我们知道 ， 如果欧洲愿意 ， 它可以非常迅速地做出反应。";"她补充说 ： “ 但我们已经看到了自俄罗斯在乌克兰战争以来发生的事情。 我们知道 ， 如果欧洲愿意 ， 它可以非常迅速地做出反应。";"29.847459";"29.847459"
"84";"BEIJING The summit this week between President Vladimir V. Putin of Russia and Xi Jinping of China is a show of force by two autocratic leaders united against what they consider American hegemony. It is also a moment of mutual weakness as Russia suffers losses in Ukraine and China endures an economic slowdown.";"北京 —— 俄罗斯总统普京和中国最高领导人习近平本周举行的峰会 ， 是两位专制领导人联手反对他们眼中美国霸权的一次力量展示。与此同时 ， 这也是双方都处于疲软的时刻 —— 俄罗斯在乌克兰遭受损失 ， 而中国正在经受经济的放缓。";"本周俄罗斯总统普京和中国国家主席习近平之间的峰会是两位独裁领导人联合起来反对他们认为的美国霸权的武力展示。 这也是一个相互疲软的时刻 ， 因为俄罗斯在乌克兰遭受损失 ， 中国经历了经济放缓。";"本周俄罗斯总统普京和中国国家主席习近平之间的峰会是两位独裁领导人联合起来反对他们认为的美国霸权的武力展示。 这也是一个相互疲软的时刻 ， 因为俄罗斯在乌克兰遭受损失 ， 中国经历了经济放缓。";"4.194931";"4.194931"
"85";"They come to the meeting, expected to take place later this week in Uzbekistan, with their own agendas and their own challenges that will test an important relationship both have described as a friendship with ""no limits.""";"峰会预计将于本周晚些时候在乌兹别克斯坦举行 ， 他们带着各自的议程和各自的挑战前来参会 ， 这将考验他们之间的重要关系 ， 即双方均称之为 "" 没有止境 "" 的友谊。";"他们参加了本周晚些时候在乌兹别克斯坦举行的会议 ， 他们自己的议程和他们自己的挑战将考验一种重要的关系 ， 这两种关系都被描述为 “ 没有限制 ” 的友谊。";"他们参加了本周晚些时候在乌兹别克斯坦举行的会议 ， 他们自己的议程和他们自己的挑战将考验一种重要的关系 ， 这两种关系都被描述为 “ 没有限制 ” 的友谊。";"5.024351";"5.024351"
"86";"Moscow needs Beijing. Russia's recent routs on the battlefields of Ukraine, coupled with the broad damage inflicted by Western sanctions, have made Chinese support all the more important. China has emerged as a major buyer of Russian commodities, purchases that have helped replenish Moscow's coffers.";"莫斯科需要北京。俄罗斯最近在乌克兰战场上失利 ， 加上西方制裁造成的广泛损失 ， 使得中国的支持变得尤为重要。中国已成为俄罗斯大宗商品的主要买家 ， 这些采购有助于充实莫斯科的国库。";"莫斯科需要北京。 俄罗斯最近在乌克兰战场上的失败 ， 加上西方制裁造成的广泛损害 ， 使中国的支持变得更加重要。 中国已经成为俄罗斯商品的主要买家 ， 这些商品的购买有助于补充莫斯科的金库。";"莫斯科需要北京。 俄罗斯最近在乌克兰战场上的失败 ， 加上西方制裁造成的广泛破坏 ， 使中国的支持变得更加重要。 中国已经成为俄罗斯商品的主要买家 ， 这些商品的购买有助于补充莫斯科的金库。";"6.274655";"6.274655"
"87";"Beijing, though, remains cautious. It wants to project strength in the increasingly acrimonious competition with the United States and can't afford for its main partner in an authoritarian alliance to face a humiliating defeat. But providing substantial, additional help to Russia, either economically or militarily, risks running afoul of Western sanctions and imperiling China's economy.";"不过 ， 北京方面仍然保持着谨慎。它希望在与美国日益激烈的竞争中展现实力 ， 不能让它在威权联盟中的重要伙伴面临耻辱性的失败。但是 ， 向俄罗斯提供大量的额外帮助 ， 无论是经济上还是军事上 ， 都有可能触犯西方的制裁并危及中国经济。";"但北京方面仍然持谨慎态度。 它希望在与美国日益激烈的竞争中投射力量 ， 并且不能让其在威权联盟中的主要合作伙伴面临耻辱的失败。 但是 ， 无论是在经济上还是军事上 ， 向俄罗斯提供大量额外的帮助 ， 都有可能与西方的制裁相冲突 ， 并危及中国的经济。";"但北京方面仍然持谨慎态度。 它希望在与美国日益激烈的竞争中展现实力 ， 并且不能让其在威权联盟中的主要合作伙伴面临耻辱的失败。 但是 ， 无论是在经济上还是军事上 ， 向俄罗斯提供大量额外的帮助 ， 都有可能与西方的制裁相冲突 ， 并危及中国的经济。";"4.619215";"4.619215"
"88";"""Xi's China has been carrying out an exquisite tightrope walk with regard to Russia,"" said Rana Mitter, a professor of history and politics at Oxford University. ""It is keen to show support for Russia in general, but finds active support for an invasion too politically embarrassing to contemplate and wants Moscow to resolve matters one way or another.""";""" 习近平领导下的中国在俄罗斯问题上一直像在走钢丝 ， "" 牛津大学历史与政治学教授拉纳 · 米特表示。 "" 它热衷于总体上显示对俄罗斯的支持 ， 但发现积极支持入侵在政治上过于尴尬而无法予以考虑 ， 并且它希望莫斯科自己想办法搞定。 """;"“ 习近平的中国一直在对俄罗斯进行精致的走钢丝 ，” 牛津大学 ( oxford university ) 历史与政治教授拉纳 · 米特 ( rana mitter ) 说。 “ 它热衷于对俄罗斯普遍表示支持 ， 但发现积极支持入侵在政治上太尴尬 ， 无法考虑 ， 并希望莫斯科以这种或那种方式解决问题。";"“ 习近平的中国一直在对俄罗斯进行精致的走钢丝 ，” 牛津大学 ( oxford university ) 历史与政治教授拉纳 · 米特 ( rana mitter ) 说。 “ 它热衷于对俄罗斯普遍表示支持 ， 但发现积极支持入侵在政治上太尴尬 ， 无法考虑 ， 并希望莫斯科以这种或那种方式解决问题。";"2.224973";"2.224973"
"89";"Image matters for Mr. Xi as he prepares to secure a third term at a pivotal Communist Party congress in Beijing next month. His trip this week, during which he will attend a regional summit in Uzbekistan and visit Kazakhstan, marks the first time Mr. Xi has traveled abroad since the start of the pandemic and signals just how much he values the relationship. The meeting with Mr. Putin will give the Chinese leader a chance to look like a global statesman, playing well to a home audience.";"形象对于习近平来说很重要 ， 他准备在下个月北京举行的关键的共产党代表大会上争取第三个任期。本周他将出席在乌兹别克斯坦举行的地区峰会并访问哈萨克斯坦 ， 这是习近平自疫情暴发以来的首次出访 ， 表明他对两国关系的重视程度。与普京的会面将使中国领导人有机会看起来像一个世界级的政治家 ， 在国内这是很好的宣传。";"习近平准备在下个月在北京举行的关键共产党代表大会上获得第三个任期时 ， 形象对习近平来说很重要。 本周 ， 习近平将出席在乌兹别克斯坦举行的区域峰会 ， 并访问哈萨克斯坦 ， 此行标志着自疫情开始以来 ， 习近平首次出国旅行 ， 表明了他对两国关系的重视。 与普京的会面将使这位中国领导人有机会看起来像一位全球政治家 ， 在国内观众面前表现出色。";"习近平准备在下个月在北京举行的关键共产党代表大会上获得第三个任期时 ， 形象很重要。 本周 ， 习近平将出席在乌兹别克斯坦举行的区域峰会 ， 并访问哈萨克斯坦 ， 此行标志着自疫情开始以来 ， 习近平首次出国旅行 ， 表明了他对两国关系的重视。 与普京的会面将使这位中国领导人有机会看起来像一位全球政治家 ， 在国内观众面前表现出色。";"3.234245";"3.234245"
"90";"Russia also provides much-needed backing for China's agenda. When House Speaker Nancy Pelosi visited Taiwan last month in defiance of China's claims to the self-ruled democracy, the Kremlin was quick to support Beijing's stance, describing the trip as ""provocative"" and pledging ""absolute solidarity with China.""";"俄罗斯也为中国的议程提供了急需的支持。上个月 ， 众议院议长佩洛西访问了台湾 ， 无视中国对这个自治民主岛屿的领土主张 ， 克里姆林宫迅速表达了对北京的支持 ， 称这次访问是 "" 挑衅 "" ， 并承诺 "" 绝对声援中国 "" 。";"俄罗斯还为中国的议程提供了急需的支持。 众议院议长南希 · 佩洛西 （ nancy pelosi ） 上个月无视中国对自治民主的主张访问台湾时 ， 克里姆林宫迅速支持北京的立场 ， 称这次访问是 “ 挑衅性的 ” ， 并承诺 “ 绝对声援中国 ” 。";"俄罗斯还为中国的议程提供了急需的支持。 众议院议长南希 · 佩洛西 （ nancy pelosi ） 上个月无视中国对自治民主的主张访问台湾时 ， 克里姆林宫迅速支持北京的立场 ， 称这次访问是 “ 挑衅性的 ” ， 并承诺 “ 绝对声援中国 ” 。";"5.618923";"5.618923"
"91";"But China has tied itself to a war that has so far backfired for Russia. Any serious weakening of Mr. Putin's dominance in Russia could hurt Beijing's position at a time when the leadership is dealing with the political and economic fallout from its strict Covid policies.";"但是 ， 中国将自己与俄罗斯发动的这场战争捆绑在了一起 ， 目前看来 ， 战争对俄罗斯产生了适得其反的效果。中国的领导层正在应对因严格的新冠防疫政策导致的政治和经济影响 ， 此时普京在俄罗斯的主导地位遭到的任何严重削弱都可能损及北京的状况。";"但中国已经卷入了一场迄今为止对俄罗斯适得其反的战争。 普京在俄罗斯主导地位的任何严重削弱都可能损害北京的地位 ， 而此时正值领导层正在处理其严格的新冠疫情政策带来的政治和经济影响。";"但中国已经卷入了一场迄今为止对俄罗斯适得其反的战争。 普京在俄罗斯主导地位的任何严重削弱都可能损害北京的地位 ， 而此时正值领导层正在处理其严格的新冠疫情政策带来的政治和经济影响。";"4.576507";"4.576507"
"92";"The question confronting China is whether to double down or let Russia navigate the setbacks on its own. Both strategies carry risks, and most experts expect China to choose a middle path of continued economic support without openly circumventing sanctions or providing outright military assistance.";"中国面临的问题是 ， 到底要加倍支持 ， 还是让俄罗斯自己渡过难关。这两种战略都存在风险 ， 大多数专家预计中国会选择一条中间道路 ， 即在不公开规避制裁或直接提供军事援助的情况下继续提供经济支持。";"中国面临的问题是加倍还是让俄罗斯独自应对挫折。 这两种战略都有风险 ， 大多数专家预计中国会选择继续提供经济支持的中间道路 ， 而不会公开规避制裁或提供直接的军事援助。";"中国面临的问题是加倍还是让俄罗斯独自应对挫折。 这两种战略都有风险 ， 大多数专家预计中国会选择继续提供经济支持的中间道路 ， 而不会公开规避制裁或提供直接的军事援助。";"5.854498";"5.854498"
"93";"China, which has avoided describing Russia's invasion of Ukraine as a war, appears to be tempering its bets. When Mr. Xi's second-highest-ranking deputy, Li Zhanshu, met with Mr. Putin in Russia last week, Chinese state media emphasized the two countries' shared admiration but steered clear of overt advocacy for Russia's actions in Ukraine.";"中国一直避免将俄罗斯对乌克兰的入侵描述为一场战争 ， 它似乎正在调节自己的赌注。当习近平排名第二的副手栗战书上周在俄罗斯会见普京时 ， 中国官方媒体强调了两国的惺惺相惜之情 ， 但没有公开支持俄罗斯在乌克兰的行动。";"避免将俄罗斯入侵乌克兰描述为战争的中国似乎正在缓和它的赌注。 当习近平的第二高级副手李占书上周在俄罗斯会见普京时 ， 中国官方媒体强调了两国的共同钦佩 ， 但避开了公开宣传俄罗斯在乌克兰的行动。";"避免将俄罗斯入侵乌克兰描述为战争的中国似乎正在缓和其赌注。 当习近平的第二高级副手李占书上周在俄罗斯会见普京时 ， 中国官方媒体强调了两国的共同钦佩 ， 但避开了公开宣传俄罗斯在乌克兰的行动。";"8.170610";"8.170610"
"94";"China's official Xinhua news agency said Mr. Li has told Mr. Putin that, ""political mutual trust, strategic coordination and pragmatic cooperation between the two countries have reached an unprecedented level.""";"中国官方通讯社新华社说 ， 栗战书告诉普京 ， "" 两国的政治互信、战略协作和务实合作达到了前所未有的水平。 """;"中国官方新华社称 ， 李克强告诉普京 ， “ 两国政治互信、战略协作和务实合作达到了前所未有的水平。";"中国官方新华社称 ， 李克强告诉普京 ， “ 两国政治互信、战略协作和务实合作达到了前所未有的水平。";"8.170610";"8.170610"
"95";"Xinhua made no mention of Ukraine, even as Russia state media claimed Beijing backed the invasion, portraying Mr. Li as having said that China ""understands and supports Russia"" particularly ""on the situation in Ukraine.""";"新华社没有提及乌克兰 ， 尽管俄罗斯官方媒体声称北京支持入侵 ， 称栗战书表示 ， 中国 "" 理解并支持俄罗斯 "" ， 尤其是 "" 在乌克兰局势上 "" 。";"新华社没有提到乌克兰 ， 尽管俄罗斯官方媒体声称北京支持入侵 ， 将李克强描绘成说中国 “ 理解和支持俄罗斯 ” ， 特别是 “ 对乌克兰局势 ” 。";"新华社没有提到乌克兰 ， 尽管俄罗斯官方媒体声称北京支持入侵 ， 将李克强描绘成说中国 “ 理解和支持俄罗斯 ” ， 特别是 “ 关于乌克兰局势 ” 。";"10.412119";"10.412119"
"96";"""China keeps avoiding military involvement in any degree in Russia's war and will continue to do so, especially when the Russians have been in a drastic failure situation in the field,"" said Shi Yinhong, a professor of international relations at Renmin University in Beijing. ""China's diplomatic and political support or sympathy will not really help them, though dramatic purchases of their energy since April help a little non-militarily.""";""" 中国一直避免军事介入俄罗斯的战争 ， 并将继续这么做 ， 尤其是俄罗斯在战场上已经遭遇严重失败的情况下 ， "" 中国人民大学国际关系教授时殷弘说。 "" 中国的外交和政治支持或同情不会真正帮到他们 ， 尽管自4月以来通过大幅购买俄罗斯能源在非军事方面起到了一点作用。 """;""" 中国一直在任何程度上避免军事介入俄罗斯的战争 ， 并将继续这样做 ， 特别是当俄罗斯在该领域处于严重的失败状态时 ， "" 中国人民大学国际关系教授时殷弘说。 "" 中国的外交和政治支持或同情不会真正帮助他们 ， 尽管自4月份以来大量购买他们的能源在非军事上有所帮助。";""" 中国一直在任何程度上避免军事介入俄罗斯的战争 ， 并将继续这样做 ， 特别是当俄罗斯在该领域处于严重的失败状态时 ， "" 中国人民大学国际关系教授时殷弘说。 "" 中国的外交和政治支持或同情不会真正帮助他们 ， 尽管自4月份以来大量购买他们的能源在非军事上有所帮助。";"21.294808";"21.294808"
"97";"Mr. Putin, who describes his war as part of a battle against nefarious Western powers that threaten Russia's very existence, appears to find China's middle ground vexing. He suggested as much last week in describing the long-running negotiations for a new pipeline that could allow Russia to export more Siberian natural gas to China rather than Europe a matter of critical importance to Moscow as Europe rushes to reduce energy imports from Russia.";"普京将他的战争描述为与威胁俄罗斯生存的邪恶西方大国作战的一部分 ， 他似乎发现中国的中间立场令人伤脑筋。上周 ， 他在提到一条谈判多年的新管道时暗示了这种担忧 ， 该管道可以让俄罗斯将更多西伯利亚天然气出口到中国 ， 而不是欧洲 —— 随着欧洲急于减少从俄罗斯进口能源 ， 这对莫斯科来说至关重要。";"普京将他的战争描述为与威胁俄罗斯生存的邪恶西方大国作战的一部分 ， 他似乎认为中国的中间立场令人恼火。 他上周描述了一条新管道的长期谈判 ， 该管道可能允许俄罗斯向中国而不是欧洲出口更多的西伯利亚天然气 ， 这对莫斯科至关重要 ， 因为欧洲急于减少从俄罗斯进口能源。";"普京将他的战争描述为与威胁俄罗斯生存的邪恶西方大国作战的一部分 ， 他似乎认为中国的中间立场令人恼火。 他上周在描述一条新管道的长期谈判时提出了同样的建议 ， 该管道可能允许俄罗斯向中国而不是欧洲出口更多的西伯利亚天然气 ， 这对莫斯科至关重要 ， 因为欧洲急于减少从俄罗斯进口能源。";"7.817610";"7.817610"
"98";"""Our Chinese friends are tough bargainers,"" Mr. Putin said at a conference in the Russian port city of Vladivostok focused on increasing economic ties with Asia. ""Naturally, they proceed from their national interests in any deal, which is the only way to go.""";""" 我们的中国朋友是不好拿下的谈判对象 ， "" 普京在俄罗斯港口城市符拉迪沃斯托克举行的一次会议上说 ， 此次会议的重点是加强与亚洲的经济联系。 "" 当然 ， 在谈任何交易时 ， 出于本国利益考虑是非常正确的。 """;"“ 我们的中国朋友是强硬的讨价还价者 ，” 普京在俄罗斯港口城市符拉迪沃斯托克举行的一次会议上说 ， 重点是加强与亚洲的经济关系。 “ 当然 ， 他们在任何协议中都会从国家利益出发 ， 这是唯一的出路。";"“ 我们的中国朋友是强硬的讨价还价者 ，” 普京在俄罗斯港口城市符拉迪沃斯托克举行的一次会议上说 ， 重点是加强与亚洲的经济关系。 “ 当然 ， 他们在任何协议中都会从国家利益出发 ， 这是唯一的出路。";"8.573161";"8.573161"
